Age,Memory,Constraint,Security,Simple,Usage,Scheme
Yes,No,No,Security,Simple,Yes,3DES
Yes,No,Yes,Security,Simple,Yes,3DES
Yes,Yes,Yes,Speed,Simple,No,AES
Yes,Yes,No,Speed,Simple,Yes,AES
Yes,No,No,Speed,Simple,No,AES
Yes,Yes,Yes,Security,Simple,Yes,AES
Yes,Yes,No,Security,Simple,Yes,AES
Yes,No,No,Security,Simple,No,AES
No,Yes,Yes,Security,Complex,No,IDEA
No,No,Yes,Security,Complex,Yes,IDEA
No,Yes,Yes,Security,Complex,Yes,IDEA
No,No,Yes,Security,Complex,Yes,IDEA
No,No,Yes,Security,Complex,No,IDEA
No,Yes,Yes,Security,Simple,No,SIMON
No,Yes,Yes,Security,Simple,No,SIMON
No,Yes,Yes,Speed,Simple,Yes,SIMON
No,No,No,Speed,Simple,Yes,SIMON
No,No,No,Security,Simple,No,SIMON
No,No,No,Security,Complex,Yes,Threefish
No,No,Yes,Security,Complex,Yes,Threefish
No,No,No,Speed,Complex,Yes,Threefish
No,No,Yes,Speed,Complex,Yes,Threefish
